Granting Agency,Company,Title,Start,End,Total
UofA ISWSP,,Modeling of heat transfer in welding,2022-05-01,2022-08-01,4000
MITACS Accelerate,Apollo Machine,Modelling and optimization of catchment efficiency in coaxial laser cladding,2021-06-01,2022-07-01,55000
NSERC CRD,Group Six Technologies,A novel laser-assisted hot-wire metal deposition technique for extreme applications (PI Rafiq Ahmad),2019-06-01,2022-05-01,158400
CWB-WF,CWB Welding Foundation,Applied Research Fund,2017-01-01,2022-01-01,75000
MITACS Accelerate,Lincoln Electric Canada,"Welding, brazing, consumables, GMAW, copper alloys, aluminum alloys, deposition rate, solidification properties ",2021-06-01,2021-11-01,15000
MITACS Accelerate,Xiris Inc.,"Comparative analysis of real-time weld quality monitoring camera systems working in visible, IR and NIR spectra",2021-03-01,2021-06-01,15000
MITACS Accelerate,Xiris Inc.,"Comparative analysis of real-time weld quality monitoring camera systems working in visible, IR and NIR spectra",2020-09-01,2020-12-01,30000
NSERC Discovery,,"Innovation in Materials Processing using Synthesis and Generalization of Multiphysics, Multicoupled Systems",2014-04-01,2020-03-01,145000
Government of Alberta (CARES),Tackpoint Ltd. CWAF,Advancing Automation in the Alberta Resource Based Industry,2018-01-01,2019-12-01,68000
NSERC CRD,"Enbridge, GoldakTec, MSC Software",Mechanical and Metallurgical Implications of Non-Ideal Geometry in Circumferential Pipeline Welds,2016-12-01,2019-09-01,160000
UofA ISWEP,,ISWEP Summer Internship Developing Multimedia Teaching Content,2019-05-01,2019-08-01,8000
CWB-WF,Frank Roberts & Associates,Reinforcing Steels,2017-11-01,2018-12-01,39000
Government of Alberta,,Manufacturing Megatrends,2018-03-01,2018-12-01,45000
NSERC USRA,,Energy balance of a molten metal droplet surrounded by thermal plasma,2018-05-01,2018-08-01,4500
NSERC CRD,Apollo Clad,Heat and Mass Transfer Aspects of laser Deposition of Ni/WC Wear Resistant Metal Matrix Composites,2014-08-01,2018-07-01,252000
MITACS Accelerate,Group Six Technologies,Numerical Modelling of Laser Cladding Technology using Pastes and Tapes,2017-09-01,2018-04-01,30000
NSERC CRD,Wilkinson Steel,Processing and Microstructural Development of Wear Protection Coatings Based in the Fe-Cr-C System,2013-10-01,2018-03-01,231000
GCCIR,Group Six Technologies,New consumables for wear resistant overlays using pastes and tapes,2017-09-01,2017-12-01,36000
Government of Alberta,,"Trade Mission to Fabtech 2016, CWC 2016 Edmonton",2016-03-01,2017-03-01,45000
Industrial Research,Indalco Alloys,Parametric Optimization Study Aluminum Welding,2016-03-01,2016-12-01,30000
Industrial Research,CLAC,Multimedia-enabled Welding Helmet for Teaching and Welder Evaluation,2016-09-01,2016-11-01,10800
Government of Alberta,Alberta Advanced Education,Trade Mission to Fabtech 2015,2015-05-01,2016-03-01,30000
NSERC Discovery,,Innovation in Materials Processing Using Scaling Principles,2009-04-01,2015-03-01,100000
Auto21,Ford,Tailor-Welded Blank Manufacturing of Mg Parts,2013-03-01,2015-03-01,66400
Government of Alberta,,Operating funds for Alberta-Germany technology collaboration,2013-04-01,2015-03-01,30000
Industrial Research,The Stoody Company,Wear Protective Overlays for Oil Sands Applications,2012-04-01,2014-09-01,55000
Productivity Alberta,,Productivity Improvement Fund,2013-10-01,2014-09-01,45000
NSERC USRA,,Non-equilibrium isues in PTAW of Fe-Cr-C ternaries,2014-05-01,2014-08-01,4500
NSERC CRD,Hitachi Canada Industries,Deposition of abrasion-resistant Ni-WC metal matrix composites using Hot Wire TIG Welding,2012-02-01,2014-05-01,100000
Government of Alberta,,Operating funds for Alberta Metal Fabrication Innovation (AMFI) Program – Round 2,2013-04-01,2014-03-01,20000
NSERC Engage,Weld Management Solutions Inc.,Real-time monitoring of weld quality in flash-butt welding (PI Vinay Prasad),2013-05-01,2014-01-01,24500
MITACS Accelerate,CASTI,Systematic catalog of welding defects,2012-09-01,2013-12-01,22000
UofA ISWSP,,Modeling of heat transfer in welding,2013-05-01,2013-08-01,4000
NSERC USRA,,Torch Instrumentation in manual welding,2013-05-01,2013-08-01,4500
NSERC CRD,Syncrude,Heat and Mass Transfer Phenomena in the Application of Wire-Based Nickel/Tungsten Carbide Overlays,2010-08-01,2013-03-01,143000
Government of Alberta,,Operating funds for Alberta Metal Fabrication Innovation (AMFI) Program,2011-04-01,2013-03-01,210000
NSERC CRD*,Syncrude,Mitigation of Embrittlement in Aged Stainless Steels (PI Adrian Gerlich),2010-07-01,2013-03-01,202580
Government of Alberta,,University/Industry Network for Welding and Joining,2009-05-01,2011-04-01,95000
NSERC Engage,H.C. Starck Canada Inc.,Development of Wire Consumables for Overlay Deposition by Hot-wire TIG Welding (PI Adrian Gerlich),2010-10-01,2011-03-01,20950
Industrial Research,Hobart Brothers,Structure-Property Relationships in Advanced High Strength Steel Welds (PI Adrian Gerlich),2009-10-01,2010-03-01,19134
Service Projects,Various,Industry Service Projects,,,105496
